seed,k22_pid,k22_finalY,k22_proofs,k22_time,k25_pid,k25_finalY,k25_proofs,k25_time
62814c901a0f5e46eca0b33524419e412d6c62089eac796108b69e8eb2e816eb,B4C35BC89BEA1D146CF6FE1F0AED5F4FF88932A9B0028957F562045AC0D7ACA5,4167021,367,4.646658176,A85B583D544AEB0C9AF242A0A00A3BD816B1B14DDA829E16D2C8C9C3062B2A68,32459699,383,24.675226499
7cb33976e532fbad0d6022d264401bf53e825f2e568304b10ad625f21f1301ee,B9692DE336AA284844AAEBCF1ECE67778E089B800BCAF079FA91C60041BBFAF7,4172910,321,4.161141298,51F176765C29E398EBE8437BC676BC55C0389DBB4D661F37FF97FEB8E74474F5,33804344,423,25.883157622
f06193885a1325dd19cea86354182312eee8e3f039db29e0dc71e517da62add7,31E24B8438B11E76C3C30B5F0F0B4A46CBD681EC35AA9F609D9851722C690487,4226372,350,4.559253742,86C8946FC4C096B767EA41E8030DE1BEFDB7F7A7306571361CDF42B638C7F15C,33202346,392,24.593115185
f5e89ef627b668b1dade9e7bb6a20cc14a0a1091973f9c6594a1ccb1cc2fe98d,ED07310FB6C537486766FC52C4BDA8BB39E2E310C043B541C6DE18257656BCB7,4526586,278,4.876079711,72B647B2F8CD083506F0AFB093B5AA0C6878106AD3EEE73FF9B2BB08AA3DED95,34505638,375,26.040940512
ca5b87e2d4dce80786a59334d70b0ba248903700b6e43c2a8a685cbf8bf39c05,FAEFC73BC4AA7C2CF5333C4FCBBE1901CDE4E9D6C714D542F559F43B64D772F0,3858841,316,4.856028709,DA451AB2DA4CC78B4704CA5B04DA0D5775472B10ED533D8AE8141912A2FE6331,33940846,381,27.897817208
e0962abdc6b76272e304a479826c5ed4387907bf5331d7d24f890953b0919fda,B9DB8FCC2BA2687E3B3984DDB85926DBC8AD4FC4BCE6B87C43D5FD9AE0070750,4330263,351,4.564515303,1115A69DD5B362387C420C6B3605A17F8A2C7CF5BDA06EF3ACE4D212E899C8AC,33894159,367,27.639853858
7b06b3124bd11d92f907349b2de5f785cd1aa8f58d247ba54f66bf07ab659f9a,561F90D0620378234487E37E4D3151CE51B599D7AE2D0E583792D1866E1877F0,3532099,0,12.200787892,1E1C5E969EE10A166F9B17E81F24C1A9DA067F2DB3A2345DF8DADD12FE689DBF,33652874,394,27.030074680
f507d2b4cead2c3f0dc5f7ec48e0b907af1d99119356311d0ed18e1b5b0ac33a,473FA74E345B881734BD075AF86FD591C6DF0E5AD393767FE99843E6BC8B77B8,4268592,340,4.627316111,307C12A6D83C028B43DD0537844C807A2E3682E7969FDA3B7418233B71F388CE,35346311,356,28.349486714
